year,water ,rate_increase,,,,,
2020,235428,0.029733082,,,,,
2021,235498,0.029724244,,,,,
2022,235568,0.029715411,,,,,
2023,235638,0.029706584,,,,,
2024,235708,0.063638061,,,,,
2025,235858,0.063597588,,,,,
2026,236008,0.063557168,,,,,
2027,236158,0.063516798,,,,,
2028,236308,0.06347648,,,,,
2029,236458,0.063436213,,,,,
2030,236608,-0.025358399,,,,,
2031,236548,-0.025364831,,,,,
2032,236488,-0.025371266,,,,,
2033,236428,-0.025377705,,,,,
2034,236368,-0.025384147,,,,,
2035,236308,-0.042317653,,,,,
2036,236208,-0.042335569,,,,,
2037,236108,-0.042353499,,,,,
2038,236008,-0.042371445,,,,,
2039,235908,0.021194703,,,,,
2040,235958,0.021190212,,,,,
2041,236008,0.021185723,,,,,
2042,236058,0.021181235,,,,,
2043,236108,0.02117675,,,,,
2044,236158,0.021172266,,,,,
2045,236208,-0.042335569,,,,,
2046,236108,-0.042353499,,,,,
2047,236008,-0.042371445,,,,,
2048,235908,-0.042389406,,,,,
2049,235808,-0.042407382,,,,,
2050,235708,-0.042407382,,,,,
